"title"	"movieId"	"popularity"	"avgRating"
"101 Dalmatians (One Hundred and One Dalmatians) (1961)"	2085	9825	3.42102
"101 Dalmatians II: Patch's London Adventure (2003)"	121099	70	3.02857
"101 Rent Boys (2000)"	174477	5	3.5
"101 Reykjavik (101 Reykjavík) (2000)"	6344	509	3.5776
"101次求婚"	149502	2	1.5
"102 Dalmatians (2000)"	3991	2100	2.39452
"102 Minutes That Changed America (2008)"	105227	18	3.86111
"1066 (2009)"	74491	14	3.57143
"10th & Wolf (2006)"	55391	95	3.00526
"10th Judicial Court: Judicial Hearings, The (10e chambre - Instants d'audience) (2004)"	58094	14	3.03571
"10th Kingdom, The (2000)"	27251	495	3.88081
"10th Victim, The (La decima vittima) (1965)"	4434	114	3.30263
"10x10 (2018)"	185869	24	2.625
"10½ (2010)"	191779	1	3.5
"11 Blocks (2015)"	171027	1	2.5
"11 Flowers (Wo 11) (2011)"	99279	6	4.08333
"11 Harrowhouse (1974)"	33624	11	3.31818
"11 Minutes (2015)"	146275	8	3.0625
"11 Minutes Ago (2007)"	168552	5	2.7
"11 September Vragen (2016)"	183647	1	5
"11 x 14 (1977)"	90543	5	3.3
"11'09\"01 - September 11 (2002)"	7789	132	3.36742
"11-11-11 (11-11-11: The Prophecy) (2011)"	90939	51	2.44118
"11.22.63 (2016)"	157498	196	3.625
"11.6 (2013)"	109366	7	3
"11/11/11 (2011)"	159624	6	2.08333
"112 Weddings (2013)"	112351	4	3.125
"11:00 AM (2013)"	144376	12	2.70833
"11:14 (2003)"	27674	847	3.55785
"11:55 (2016)"	170955	5	2.6
"11:59 (2005)"	147609	3	4.33333
"11th Hour, The (2007)"	66320	75	3.33333
"12 (2007)"	56093	157	3.54777
"12 Angry Men (1957)"	1203	17852	4.23684
"12 Angry Men (1997)"	77846	801	3.96067
"12 Chairs (1971)"	141844	129	3.80233
"12 Chairs (1976)"	141816	94	3.82447
"12 Dates of Christmas (2011)"	119563	34	3.22059
"12 Days (2017)"	186815	1	1
"12 Days of Christmas Eve (2004)"	136010	2	2.5
"12 Days of Terror (2005)"	91429	12	2.79167
"12 Dicembre (1972)"	150148	1	0.5
"12 Dogs of Christmas, The (2005)"	91339	11	2.77273
"12 Dogs of Christmas: Great Puppy Rescue (2012)"	179535	1	5
"12 Feet Deep (2016)"	174857	6	3
"12 Gifts of Christmas (2015)"	149392	10	2.95
"12 Jahre (2010)"	190387	1	3
"12 Men of Christmas (2009)"	182489	2	4.25
"12 O'Clock Boys (2013)"	111647	22	3.36364
"12 Paces without a Head (2009)"	155731	1	0.5
"12 Rounds (2009)"	70361	284	2.77289
"12 Rounds 2: Reloaded (2013)"	107745	25	2.54
"12 Rounds 3: Lockdown (2015)"	142228	35	2.44286
"12 Storeys (Shier lou) (1997)"	81387	4	3.125
"12 Strong (2018)"	183701	78	3.03205
"12 to the Moon (1960)"	173051	2	1.5
"12 Wishes of Christmas (2011)"	119573	1	3.5
"12 Years a Slave (2013)"	105844	5030	3.87922
"120 (2008)"	69652	4	2.875
"120 Beats Per Minute (2017)"	174859	35	3.45714
"125 Years Memory (2015)"	171373	1	3
"127 Hours (2010)"	81562	6493	3.62883
"12:01 (1993)"	65899	97	3.33505
"12:01 PM (1990)"	128844	14	3.53571
"12:08 East of Bucharest (A fost sau n-a fost?) (2006)"	54426	76	3.43421
"12th & Delaware (2010)"	79850	15	3.63333
"13 (2010)"	82244	226	3.06416
"13 Assassins (Jûsan-nin no shikaku) (2010)"	86142	808	3.69121
"13 Beloved (13 game sayawng) (2006)"	61215	48	3.23958
"13 Cameras (2015)"	162576	25	2.96
"13 Curses (2002)"	172493	2	2.75
"13 dies de octubre (2015)"	152310	1	3.5
"13 Eerie (2013)"	140283	10	2.1
"13 Fighting Men (1960)"	109355	1	0.5
"13 Frightened Girls! (Candy Web, The) (1963)"	112015	2	2.5
"13 Ghosts (1960)"	4792	826	2.85714
"13 Going on 30 (2004)"	7444	5577	3.09324
"13 Hours (2016)"	138210	708	3.73729
"13 Hours in a Warehouse (2008)"	158661	2	2
"13 Lakes (2004)"	127573	1	3.5
"13 Minutes (2015)"	140844	19	3.31579
"13 Moons (2002)"	175967	6	2.75
"13 reasons why"	170745	125	3.904
"13 Rue Madeleine (1947)"	6437	82	3.44512
"13 Sins (2014)"	110286	225	3.35778
"13 Tzameti (2005)"	48872	390	3.71538
"13/13/13 (2013)"	110982	4	1.875
"13B (2009)"	67405	46	3.01087
"13th (2016)"	164917	218	3.84862
"13th Letter, The (1951)"	72090	7	2.42857
"13th Warrior, The (1999)"	2826	9105	3.12762
"14 Blades (Jin yi wei) (2010)"	92096	38	3.09211
"14 Going on 30 (1988)"	131602	2	2.75
"14 Hours (Fourteen Hours) (1951)"	34488	25	3.42
"14+ (2015)"	176999	5	3.4
"1408 (2007)"	53953	4182	3.35175
"1492: Conquest of Paradise (1992)"	8905	456	3.09649
"15 (2003)"	151349	7	2.85714
"15 (2005)"	86497	4	2.25
"15 Février 1839 (2001)"	166018	2	4.75
"15 Minutes (2001)"	4167	1867	2.97965
"15 Years and One Day (2013)"	132134	3	3.33333
"150 Milligrams (2016)"	175363	1	3
"16 Acres (2012)"	110582	4	3.375
"16 Blocks (2006)"	43936	2458	3.30309
"16 to Life (2009)"	97615	6	2.66667
"16 Wishes (2010)"	140747	34	3.20588
"16 Years of Alcohol (2003)"	37689	8	3.3125
"16-love (2012)"	137463	9	2.88889
"1612: Khroniki smutnogo vremeni (2007)"	86637	21	2.30952
"17 Again (2009)"	68135	2838	3.08545
"17 Girls (17 filles) (2011)"	112226	26	3.21154
"170 Hz (2012)"	177777	1	3.5
"1776 (1972)"	5472	484	3.45455
"1778 Stories of Me and My Wife (2011)"	190137	1	4
"18 Again! (1988)"	4462	336	2.50744
"18 Fingers of Death! (2006)"	101632	3	2.16667
"18 Meals (2011)"	136223	1	2.5
"18 Year Old Virgin (2009)"	135280	13	2.03846
"18 Years Later (Diciotto anni dopo) (2010)"	94107	3	3.66667
"18 Years Old and Rising (J'aime regarder les filles) (2011)"	108209	7	3
"1809-1810: mientras llega el día (2004)"	191975	1	2.5
"180° South (180 Degrees South) (180° South: Conquerors of the Useless) (2010)"	102596	21	3.52381
"1812 (1912)"	161598	2	1.5
"1812. Ballad of the Uhlans (2012)"	189145	1	2
"186 Dollars to Freedom (2012)"	138110	1	2.5
"187 (One Eight Seven) (1997)"	1609	809	3.0309
"1898. Los últimos de Filipinas (2016)"	166916	8	3.0625
"1900 (Novecento) (1976)"	26359	316	3.66614
"1911 (Xinhai geming) (2011)"	98755	21	2.88095
"1915 (2015)"	133339	3	3.66667
"1920 (2008)"	135589	10	3
"1920: Evil Returns (2012)"	154168	5	2
"1922 (2017)"	178523	127	3.09055
"1939: Hollywood's Greatest Year (2009)"	69788	6	4
"1941 (1979)"	7104	776	2.84536
"1942: A Love Story (1994)"	134352	4	2.5
"1944 (2015)"	144910	16	3.1875
"1945 (2017)"	179915	5	4.2
"1945: The Savage Peace (2015)"	181223	1	4
"1968 (2018)"	190707	1	5
"1969 (1988)"	4463	137	2.75547
"1971 (2014)"	114254	15	3.13333
"1974: La posesión de Altair (2016)"	179313	1	3
"1981 (2009)"	118882	9	3.5
"1982 (2013)"	181101	1	4
"1984 (1956)"	62049	527	3.71252
"1984 (Nineteen Eighty-Four) (1984)"	2117	3887	3.6442
"1984 Revolution (2011)"	180409	1	5
"1987 (2014)"	118884	7	3.42857
"1987: When the Day Comes (2017)"	184383	1	4
"1989 (2014)"	147012	2	3.5
"1990: The Bronx Warriors (1990: I guerrieri del Bronx) (1982)"	81660	26	2.67308
"1991: The Year Punk Broke (1992)"	54652	11	3.54545
"19th Wife, The (2010)"	86837	13	2.92308
"1:54 (2016)"	170853	4	3.5
"1st to Die (2003)"	162780	3	2.33333
"1½ Knights - In Search of the Ravishing Princess Herzelinde (2008)"	117578	5	2.4
"2 (2007)"	143422	2	5
"2 + 2 (Dos más dos) (2012)"	108422	4	3
"2 Autumns 3 Winters (2013)"	150568	5	2.9
"2 Become 1 (Tin sun yut dui) (2006)"	100315	3	4
"2 Bedroom 1 Bath (2014)"	187489	1	1
"2 Cool 2 Be 4gotten (2016)"	186259	2	3.75
"2 Countries (2015)"	184757	1	2
"2 Days in New York (2012)"	95744	149	3.07718
"2 Days in Paris (2007)"	54796	638	3.41458
"2 Days in the Valley (1996)"	999	3277	3.28853
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)"	6383	5527	2.59454
"2 Guns (2013)"	103883	1013	3.3465
"2 Hours (2012)"	156563	3	2.33333
"2 Jennifer (2016)"	190933	1	3
"2 Lava 2 Lantula! (2016)"	169962	5	2.1
"2 Nights Till Morning (2015)"	157047	6	3.41667
"2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her) (1967)"	1164	206	3.42476
"2 Seconds (1998)"	191189	1	3
"2 States (2014)"	154470	16	3.125
"2 Young (2005)"	139885	2	4
"2-Headed Shark Attack (2012)"	96923	19	1.78947
"20 Dates (1998)"	2492	849	2.80094
"20 Feet from Stardom (Twenty Feet from Stardom) (2013)"	103107	173	3.63873
"20 Ft Below: The Darkness Descending (20ft Below: The Darkness Descending) (2014)"	111243	1	1.5
"20 Million Miles to Earth (1957)"	5468	174	3.18391
"20 Seconds of Joy (2007)"	87186	2	4.25
"20 Years After (2008)"	131062	4	1.125
"20 Years Of Madness (2016)"	186283	1	2.5
"20,000 Days on Earth (2014)"	114066	93	3.5
"20,000 Leagues Under the Sea (1916)"	62383	77	3.23377
"20,000 Leagues Under the Sea (1954)"	1019	7222	3.51675
"20,000 Leagues Under the Sea (1997)"	102190	11	2.31818
"20,000 Leagues Under the Sea (1997)"	114130	5	2.8
"20,000 Years in Sing Sing (1932)"	49379	10	2.8
"200 Cigarettes (1999)"	2504	1718	2.92404
"200 Degrees (2017)"	181203	2	2.75
"200 M.P.H. (2011)"	88020	5	2.2
"200 Motels (1971)"	37277	36	2.86111
"200 Pounds Beauty (2006)"	158336	21	3.09524
"2000 AD (2000)"	144278	10	3.5
"2001 Maniacs (2005)"	51498	122	2.69672
"2001: A Space Odyssey (1968)"	924	31291	3.97386
"2001: A Space Travesty (2000)"	170191	19	1.78947
"2009: Lost Memories (2002)"	31647	41	2.9878
"2010: Moby Dick (2010)"	95748	5	2.1
"2010: The Year We Make Contact (1984)"	2311	4644	3.38932
"2012 (2009)"	72378	5997	2.75654
"2012 Doomsday (2008)"	173613	1	0.5
"2012: Ice Age (2011)"	125874	35	2.74286
"2012: Supernova (2009)"	80505	29	2.43103
"2012: Time for Change (2010)"	84017	6	3.41667
"2013 Rock and Roll Hall of Fame Induction Ceremony, The (2013)"	107623	1	4.5
"2016 Oscar Nominated Short Films: Live Action (2016)"	187525	1	2.5
"2016: Obama's America (2012)"	96941	35	2.75714
"2017 Oscar Nominated Short Films - Live Action (2017)"	186791	1	3
"2019: After the Fall of New York (1983)"	90460	19	2.42105
"2020 Texas Gladiators (1983)"	159538	1	2
"2033 (2010)"	141652	2	2.5
"2036 Origin Unknown (2018)"	189549	17	2.5
"2036: Nexus Dawn (2017)"	179055	25	3.4
"2046 (2004)"	27266	1512	3.66964
"2047 - Sights of Death (2014)"	133941	2	0.5
"2048: Nowhere to Run (2017)"	179053	25	3.44
"2061 - Un anno eccezionale (2007)"	162902	1	0.5
"2081 (2009)"	113968	16	3.4375
"2084 (1984)"	144190	4	2.75
"20th Century Boys - Chapter 1: Beginning of the End (2008)"	117358	8	2.5625
"20th Century Oz (1976)"	133889	1	4.5
"20th Century Women (2016)"	166788	285	3.73333
"21 (2008)"	58803	4930	3.50984
"21 and Over (2013)"	100507	305	3.07541
"21 Days (1940)"	160736	1	3
"21 Days (2014)"	160734	3	2
"21 Grams (2003)"	6953	7677	3.68731
"21 Hours at Munich (1976)"	130560	3	3.33333
"21 Jump Street (2012)"	93510	6063	3.59814
"21 nuits avec Pattie (2015)"	165283	3	2.83333
"21 tapaa pilata avioliitto (2013)"	100401	27	3
"21 Up (1977)"	52767	505	3.94851
"21 Years: Richard Linklater (2014)"	132666	3	3.66667
"21-87 (1963)"	119332	9	3.27778
"2103: The Deadly Wake (1997)"	143861	3	2.5
"211 (2018)"	187713	19	2.05263
"22 Bullets (L'immortel) (2010)"	80398	276	3.26268
"22 Female Kottayam (2012)"	186739	1	4
"22 Jump Street (2014)"	112138	3473	3.48402
"22 Minutes (2014)"	172417	2	3.25
"23 (23 - Nichts ist so wie es scheint) (1998)"	45172	68	3.625
"23 Blast (2014)"	172007	2	4
"23 Paces to Baker Street (1956)"	72092	16	3.03125
"2307: Winter's Dream (2016)"	169658	7	1.5
"24 (2016)"	170733	6	3.33333
"24 7: Twenty Four Seven (1997)"	2444	88	3.45455
"24 City (Er shi si cheng ji) (2008)"	86094	17	3.26471
"24 Days (2014)"	145506	7	3.5
"24 Exposures (2013)"	111509	6	2.58333
"24 Frames (2017)"	190181	1	4.5
"24 Hour Party People (2002)"	5508	1657	3.59203
"24 Hour Woman, The (1998)"	2486	75	2.47333
"24 Hours on Craigslist (2005)"	106224	1	2
"24 Hours to Live (2017)"	180037	31	2.83871
"247°F (2011) "	96748	12	2.625
"24: Redemption (2008)"	78729	285	3.49825
"24th Day, The (2004)"	34579	62	3.03226
"24×36 (2016)"	175647	2	3.5
"25 April (2015)"	170379	2	3.75
"25 Carat (2008)"	152316	1	3.5
"25 Fireman's Street (1973)"	168098	1	3
"25 Watts (2001)"	33380	15	3.06667
"25 Ways to Quit Smoking (1989)"	186613	4	3
"252: Signal of Life (2008)"	171493	1	2
"25th Hour (2002)"	5954	5790	3.81874
"26 Years (2012)"	162880	6	3.75
"27 Club, The (2008)"	73668	6	3.25
"27 Dresses (2008)"	56949	3767	3.15994
"27 Missing Kisses (2000)"	55147	11	3.13636
"27: El club de los malditos (2018)"	187943	2	2.5
"28 Days (2000)"	3534	5556	3.09998
"28 Days Later (2002)"	6502	17137	3.75209
"28 Hotel Rooms (2012)"	98107	16	2.65625
"28 Up (1985)"	7566	858	4.00699
"28 Weeks Later (2007)"	53000	6127	3.43937
"29 Palms (2002)"	105945	12	2.20833
"29+1 (2017)"	184441	1	3.5
"29th and Gay (2005)"	140749	4	2.625
"29th Street (1991)"	8120	23	3.13043
"2:13 (2009)"	79547	13	2.30769
"2:22 (2008)"	101466	6	2
"2:22 (2017)"	174893	45	2.92222
"2:37 (2006)"	47503	66	3.08333
"2AM: The Smiling Man (2013)"	113719	5	2.9
"2gether (2000)"	143039	2	3
"2LDK (2003)"	27764	35	3.54286
"3 A.M (2014)"	175597	1	1.5
"3 A.M. (2001)"	94904	3	2.66667
"3 Avengers (1964)"	145676	1	2
"3 Backyards (2010)"	88423	5	1.8
"3 Bad Men (1926)"	57484	21	3.04762
"3 Beauties (2015)"	192249	1	3.5
"3 Blind Mice (2003)"	48770	16	2.5625
"3 Braves (2015)"	153760	1	1.5
"3 Days of Normal (2012)"	162070	1	1.5
"3 Days to Kill (2014)"	109569	369	3.07046
"3 dev adam (Three Giant Men) (1973) "	104017	7	1.85714
"3 Extremes (Three... Extremes) (Saam gaang yi) (2004)"	33896	555	3.50991
"3 Geezers! (2013)"	162240	3	0.833333
"3 Godfathers (1948)"	25934	73	3.37671
"3 Hati Dua Dunia Satu Cinta (2010)"	162966	1	2.5
"3 Hearts (2014)"	140096	11	2.86364
"3 Holiday Tails (Golden Christmas 2: The Second Tail, A) (2011)"	111040	2	2
"3 Hours till Dead (2017)"	187651	1	1
"3 Idiotas (2017)"	170941	2	2.75
"3 Idiots (2009)"	73881	1380	3.92609
"3 Little Ninjas and the Lost Treasure (1990)"	106250	1	0.5
"3 Musketeers (2011)"	190863	2	1.75
"3 Needles (2005)"	79471	3	2.5
"3 Nights in the Desert (2015)"	136790	1	1
"3 Ninjas (1992)"	4748	1157	2.33276
"3 Ninjas Kick Back (1994)"	4749	665	1.9406
"3 Ninjas Knuckle Up (1995)"	4750	506	1.82115
"3 Ninjas: High Noon On Mega Mountain (1998)"	1739	667	1.58846
"3 on a Couch (Three on a Couch) (1966)"	69446	10	2.9
"3 Ring Circus (1954)"	71402	5	2.5
"3 Rooms of Melancholia, The (Melancholian 3 huonetta) (2004)"	39524	11	3.22727
"3 Sailors and a Girl (Three Sailors and a Girl) (1953)"	77742	7	2.92857
"3 Simoa (2012)"	120623	9	2.94444
"3 Strikes (2000)"	3322	78	2.37821
"3 Times a Charm (2011)"	171885	1	3.5
"3 Türken und ein Baby (2015)"	162410	3	3.66667
"3 Women (Three Women) (1977)"	8261	428	3.83528
"3 Worlds of Gulliver, The (1960)"	71404	18	3.69444
"3, 2, 1... Frankie Go Boom (Frankie Go Boom) (2012)"	97740	22	2.84091
"3-D Sex and Zen: Extreme Ecstasy (2011)"	171821	1	5
"3-Day Weekend (2008)"	140757	7	2.21429
"3-Headed Shark Attack (2015)"	149676	10	1.4
"3-Iron (Bin-jip) (2004)"	30803	1405	3.95872
"30 Beats (2012)"	101505	2	1.75
"30 Days of Night (2007)"	55282	2228	3.11064
"30 Days of Night: Dark Days (2010)"	81180	155	2.59032
"30 Days Until I'm Famous (2004)"	143037	2	3.5
"30 Minutes or Less (2011)"	88812	826	3.0684
"30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo (2013)"	115913	10	1.65
"30 Years to Life (1998)"	173785	2	2
"30 Years to Life (2001)"	5271	13	2.53846
"300 (2007)"	51662	19605	3.58454
"300 Miles to Heaven (300 Mil do Nieba) (1989)"	33397	9	3.22222
"300 Spartans, The (1962)"	46653	130	3.36923
"3000 Miles to Graceland (2001)"	4159	1718	2.76106
"300: Rise of an Empire (2014)"	109673	1474	2.99152
"301, 302 (301/302) (1995)"	652	82	3.0122
"305 (2008)"	171523	1	0.5
"306 Hollywood (2018)"	188455	1	2.5
"3096 Days (2013)"	102856	26	3.42308
"31 (2016)"	163981	48	2.875
"31 North 62 East (2009)"	79104	3	3.5
"31st of June (1978)"	146036	17	3.73529
"32A (2007)"	153368	2	2.75
"33 Postcards (2011)"	96160	3	2.16667
"33 Scenes from Life (33 sceny z zycia) (2008)"	66295	16	3.4375
"35 and Ticking (2011)"	88181	11	2.54545
"35 Shots of Rum (35 rhums) (2008)"	72039	64	3.3125
"35 Up (1991)"	26712	430	3.98953
"36 (2012)"	154780	2	3.75
"36 China Town (2006)"	153554	6	2.91667
"36 Chowringhee Lane (1981)"	186877	1	3
"36 Crazy Fists (San shi liu mi xing quan) (1977)"	98471	5	2.3
"36 fillette (1988)"	7837	46	2.95652
"36 Hours (1965)"	26110	24	3.54167
"36 Quai des Orfèvres (Department 36) (2004)"	47634	167	3.49401
"36 Vayadhinile (2015)"	192131	1	3
"360 (2011)"	96700	73	3.14384
"36th Chamber of Shaolin, The (Shao Lin san shi liu fang) (Master Killer) (1978)"	51277	344	3.82703
"37 (2016)"	165175	4	2.75
"38 Parrots"	147188	34	3.25
"3801 Lancaster: American Tragedy (2015)"	182663	4	3.875
"388 Arletta Avenue (2011)"	95896	10	2.35
"39 Steps, The (1935)"	965	4103	3.97965
"3: The Dale Earnhardt Story (2004)"	135246	5	3.4
"3:10 to Yuma (1957)"	5300	638	3.60815
"3:10 to Yuma (2007)"	54997	7031	3.73517
"3:15 (1985)"	131662	2	3
"3faltig (2010)"	139509	2	2.5
"3rd Voice, The (1960)"	77744	3	3.5
"3rd World Hero (Bayaning Third World) (2000)"	94419	3	3.16667
"3some (Castillos de cartón) (2009)"	101224	7	2.78571
"3x3 (2009)"	148104	2	2.75
"3x3 Eyes (1991)"	157833	5	2
"3x3 Eyes: Legend of the Divine Demon (1995)"	157815	1	2.5
"3½ Minutes, 10 Bullets (2015)"	147441	28	3.82143
"4 (2005)"	37957	32	3.23438
"4 Elements (2006)"	153082	1	3.5
"4 for Texas (1963)"	5057	71	2.85915
"4 Horror Tales - February 29 (2006)"	180581	2	3.5
"4 Horror Tales - Roommates (2006)"	153522	3	3.83333
"4 Horsemen of the Apocalypse, The (1962)"	26068	28	3.41071
"4 Little Girls (1997)"	4217	344	3.81395
"4 Minute Mile (2014)"	141036	10	3.7
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)"	55069	1030	3.84029
"4 Moons (2014)"	140878	17	3.61765
"4 Wedding Planners (2011)"	185061	1	1
"4.1 Miles (2016)"	169788	5	4.3
"4.3.2.1 (2010)"	95223	40	3.1375
"40 (2009)"	185751	1	3
"40 Carats (1973)"	108658	1	5
"40 Days and 40 Nights (2002)"	5151	3229	2.79251
"40 Days and Nights (2012)"	178581	1	0.5
"40 Guns to Apache Pass (1967)"	72163	10	3.3
"40 Pounds of Trouble (1962)"	92104	7	3.42857
"40-Love (2014)"	176477	1	2.5
"40-Year-Old Virgin, The (2005)"	35836	15206	3.46327
"400 Blows, The (Les quatre cents coups) (1959)"	2731	3509	4.10872
"400 Days (2015)"	146926	61	2.2377
